country,number_of_parks_listed,number_of_parks_scraped
Algeria,11,11
Angola,8,8
Ascension Island,1,2
Benin,2,2
Botswana,4,4
Burkina Faso,4,4
Burundi,3,3
Cameroon,27,17
Cape Verde,1,5
Central African Republic,5,5
Chad,4,1
Comoros,6,8
Democratic Republic of the Congo,9,9
Republic of the Congo,5,0
Côte d'Ivoire,9,8
Djibouti,3,1
Egypt,5,0
Equatorial Guinea,3,3
Eritrea,2,1
Eswatini,1,1
Ethiopia,22,17
Gabon,13,13
Gambia,5,7
Ghana,7,7
Guinea,3,2
Guinea-Bissau,6,3
Kenya,24,25
Lesotho,2,0
Liberia,8,5
Libya,6,5
Madagascar,26,24
Malawi,6,5
Mali,4,0
Mauritania,2,0
Mauritius,3,2
Morocco,12,11
Mozambique,7,8
Namibia,20,12
Niger,1,0
Nigeria,8,8
Rwanda,3,0
Sao Tome and Principe,1,0
Senegal,6,6
Seychelles,9,3
Sierra Leone,8,3
Somalia,6,7
South Africa,21,20
South Sudan,6,0
Sudan,4,3
Tanzania,22,18
Togo,3,0
Tunisia,17,10
Uganda,10,24
Zambia,28,20
Zimbabwe,11,10
Afghanistan,2,2
Armenia,4,4
Azerbaijan,11,10
Bangladesh,18,7
Bhutan,5,5
Brunei,2,1
Cambodia,13,9
People's Republic of China,11,9
Georgia,11,12
India,116,104
Indonesia,56,52
Iran,23,9
Iraq,2,0
Israel,49,39
Japan,34,34
Jordan,0,6
Kazakhstan,13,13
Kyrgyzstan,13,13
Lebanon,4,13
Maldives,0,4
Malaysia,29,24
Mongolia,29,19
Myanmar,9,6
Nepal,12,12
North Korea,9,6
Oman,1,1
Pakistan,26,34
Philippines,36,35
Qatar,0,1
Russia,48,65
Saudi Arabia,3,0
South Korea,22,22
Sri Lanka,26,26
Republic of China (Taiwan),9,9
Tajikistan,1,0
Timor-Leste,2,1
Thailand,147,116
Turkey,43,39
United Arab Emirates,4,2
Uzbekistan,4,2
Vietnam,32,31
Yemen,2,0
Albania,14,11
Austria,7,6
Belarus,4,4
Belgium,6,1
Bosnia and Herzegovina,4,4
Bulgaria,3,3
Croatia,8,8
Czech Republic,4,2
Denmark,5,5
Estonia,6,6
Finland,40,41
France,10,11
Germany,16,15
Greece,15,27
Hungary,10,10
Iceland,3,3
Ireland,6,6
Italy,25,25
Kosovo,2,2
Latvia,4,4
Lithuania,5,5
Malta,1,0
Moldova,"1
",0
Montenegro,5,5
Netherlands,21,22
North Macedonia,3,2
Norway,47,51
Poland,23,23
Portugal,1,0
Romania,14,14
Serbia,7,6
Slovakia,9,9
Slovenia,1,0
Spain,16,16
Sweden,30,30
Switzerland,1,0
Ukraine,48,56
United Kingdom,15,15
Antigua and Barbuda,6,0
Aruba,1,0
Bahamas,40,20
Barbados,1,0
Belize,18,9
British Virgin Islands,14,0
Canada,47,48
Costa Rica,29,30
Cuba,14,0
Curacao,2,2
Dominica,3,3
Dominican Republic,29,0
El Salvador,8,4
Grenada,3,0
Guatemala,22,20
Haiti,16,7
Honduras,18,18
Jamaica,1,0
Mexico,67,56
Nicaragua,3,2
Panama,16,13
Saint Kitts & Nevis,5,0
Saint Lucia,2,0
Saint Vincent and the Grenadines,1,0
Trinidad & Tobago,1,0
Turks and Caicos Island,11,0
United States,63,63
US Virgin Islands,1,0
Argentina,37,35
Bolivia,13,7
Brazil,75,72
Chile,41,42
Colombia,60,42
Ecuador,12,11
Guyana,1,1
Paraguay,15,4
Peru,15,7
Uruguay,7,4
Venezuela,46,42
American Samoa,1,4
Australia,685,613
Cook Islands,1,0
Fiji,1,0
New Zealand,13,14
Papua New Guinea,8,2
Samoa,5,2
Solomon Islands,1,0
Tonga,4,0
